App,TestClass,TestFilePath,ProductionFilePath,RelativeTestFilePath,RelativeProductionFilePath,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test
Graylog2/graylog2-server,RebuildIndexRangesJobTest.java,/home/bayesdiarra/tmpGitRepositorytsd/Graylog2/graylog2-server/versions_builds/65223254/graylog2-server/src/test/java/org/graylog2/indexer/ranges/RebuildIndexRangesJobTest.java,,versions_builds/65223254/graylog2-server/src/test/java/org/graylog2/indexer/ranges/RebuildIndexRangesJobTest.java,,true,false,false,false,false,true,false,false,false,false,false,false,false,,,false,false,false,false,false,false
Graylog2/graylog2-server,ExposedConfigurationTest.java,/home/bayesdiarra/tmpGitRepositorytsd/Graylog2/graylog2-server/versions_builds/92257602/graylog2-server/src/test/java/org/graylog2/configuration/ExposedConfigurationTest.java,,versions_builds/92257602/graylog2-server/src/test/java/org/graylog2/configuration/ExposedConfigurationTest.java,,true,false,false,false,false,true,true,false,false,false,true,false,false,,,false,false,false,false,false,false
Graylog2/graylog2-server,FieldValueAlertConditionTest.java,/home/bayesdiarra/tmpGitRepositorytsd/Graylog2/graylog2-server/versions_builds/19505949/graylog2-server/src/test/java/org/graylog2/alerts/types/FieldValueAlertConditionTest.java,,versions_builds/19505949/graylog2-server/src/test/java/org/graylog2/alerts/types/FieldValueAlertConditionTest.java,,true,true,false,false,false,true,true,false,false,false,true,false,false,,,false,false,false,false,false,false
Graylog2/graylog2-server,BaseConfigurationTest.java,/home/bayesdiarra/tmpGitRepositorytsd/Graylog2/graylog2-server/versions_builds/141606348/graylog2-server/src/test/java/org/graylog2/plugin/BaseConfigurationTest.java,,versions_builds/141606348/graylog2-server/src/test/java/org/graylog2/plugin/BaseConfigurationTest.java,,true,true,false,false,false,true,true,true,false,false,true,false,false,,,false,false,false,true,false,false
Graylog2/graylog2-server,SelfSignedCertificateTest.java,/home/bayesdiarra/tmpGitRepositorytsd/Graylog2/graylog2-server/versions_builds/141606348/graylog2-server/src/test/java/org/graylog2/shared/security/tls/SelfSignedCertificateTest.java,,versions_builds/141606348/graylog2-server/src/test/java/org/graylog2/shared/security/tls/SelfSignedCertificateTest.java,
Graylog2/graylog2-server,LimitedStringValidatorTest.java,/home/bayesdiarra/tmpGitRepositorytsd/Graylog2/graylog2-server/versions_builds/77302110/graylog2-server/src/test/java/org/graylog2/database/validators/LimitedStringValidatorTest.java,,versions_builds/77302110/graylog2-server/src/test/java/org/graylog2/database/validators/LimitedStringValidatorTest.java,,true,true,false,false,false,true,true,true,false,false,true,false,false,,,false,false,false,true,true,false
Graylog2/graylog2-server,IndexHelperTest.java,/home/bayesdiarra/tmpGitRepositorytsd/Graylog2/graylog2-server/versions_builds/101560525/graylog2-server/src/test/java/org/graylog2/indexer/IndexHelperTest.java,,versions_builds/101560525/graylog2-server/src/test/java/org/graylog2/indexer/IndexHelperTest.java,,true,true,false,false,false,true,true,true,false,false,true,false,false,,,false,false,false,true,true,false
Graylog2/graylog2-server,ProcessBufferTest.java,/home/bayesdiarra/tmpGitRepositorytsd/Graylog2/graylog2-server/versions_builds/33167124/graylog2-server/src/test/java/org/graylog2/shared/buffers/ProcessBufferTest.java,,versions_builds/33167124/graylog2-server/src/test/java/org/graylog2/shared/buffers/ProcessBufferTest.java,,true,true,false,false,false,true,true,true,false,false,true,false,false,,,false,true,false,true,true,false
Graylog2/graylog2-server,GELFChunkManagerTest.java,/home/bayesdiarra/tmpGitRepositorytsd/Graylog2/graylog2-server/versions_builds/1111710/src/test/java/org/graylog2/inputs/gelf/GELFChunkManagerTest.java,,versions_builds/1111710/src/test/java/org/graylog2/inputs/gelf/GELFChunkManagerTest.java,,true,true,false,false,false,true,true,true,false,false,true,false,true,,,false,true,false,true,true,false
Graylog2/graylog2-server,GELFProcessorTest.java,/home/bayesdiarra/tmpGitRepositorytsd/Graylog2/graylog2-server/versions_builds/1111710/src/test/java/org/graylog2/inputs/gelf/GELFProcessorTest.java,,versions_builds/1111710/src/test/java/org/graylog2/inputs/gelf/GELFProcessorTest.java,,true,true,false,false,false,true,true,true,false,false,true,false,true,,,false,true,false,true,true,false
